CustomerID,Age,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Payment_Method,Internet_Service,Tech_Support,Online_Security,Number_of_Services,Customer_Service_Calls,Churn
CUST00189,28,25,94.72,2368.00,One Year,Mailed Check,DSL,Yes,Yes,5,3,1
CUST00190,55,10,88.78,887.80,Two Year,Credit Card,DSL,No,Yes,4,7,1
CUST00191,30,48,59.53,2857.44,Month-to-Month,Electronic Check,Fiber Optic,No,No,3,6,1
CUST00192,25,7,35.56,248.92,Month-to-Month,Credit Card,DSL,Yes,No,1,2,1
CUST00193,21,10,36.05,360.50,Two Year,Mailed Check,No,No,No,6,5,0
CUST00194,22,10,83.84,838.40,One Year,Credit Card,DSL,No,Yes,6,6,1
CUST00195,74,3,26.78,80.34,One Year,Bank Transfer,DSL,No,No,4,3,0
CUST00196,41,58,39.33,2281.14,One Year,Mailed Check,No,Yes,Yes,1,0,0
CUST00197,32,28,53.65,1502.20,One Year,Electronic Check,Fiber Optic,Yes,Yes,1,4,0
CUST00198,22,63,90.00,5670.00,Month-to-Month,Bank Transfer,DSL,No,Yes,6,3,1
CUST00199,76,53,26.79,1419.87,Two Year,Bank Transfer,DSL,No,Yes,1,5,1
CUST00200,75,57,38.75,2208.75,One Year,Mailed Check,Fiber Optic,No,Yes,3,2,0
CUST00201,34,64,40.90,2617.60,Two Year,Bank Transfer,Fiber Optic,No,No,3,7,1
CUST00202,37,30,60.47,1814.10,One Year,Credit Card,No,No,Yes,5,5,0
CUST00203,48,27,55.68,1503.36,Two Year,Credit Card,Fiber Optic,No,Yes,5,6,0
CUST00204,68,34,41.88,1423.92,One Year,Credit Card,No,No,Yes,6,6,0
CUST00205,75,41,55.95,2293.95,One Year,Electronic Check,No,Yes,No,4,3,0
CUST00206,63,26,47.58,1237.08,Month-to-Month,Credit Card,No,Yes,No,1,3,1
CUST00207,77,10,28.94,289.40,Month-to-Month,Credit Card,Fiber Optic,No,No,1,0,1
CUST00208,56,55,44.48,2446.40,Two Year,Mailed Check,DSL,No,Yes,6,5,0
CUST00209,64,67,92.29,6183.43,Two Year,Bank Transfer,Fiber Optic,Yes,No,6,0,0
CUST00210,51,50,56.95,2847.50,Month-to-Month,Bank Transfer,DSL,No,No,6,0,1
CUST00211,73,40,70.82,2832.80,Month-to-Month,Mailed Check,DSL,Yes,No,5,1,1
CUST00212,19,32,32.17,1029.44,Month-to-Month,Credit Card,Fiber Optic,No,Yes,1,1,1
CUST00213,33,1,20.95,20.95,One Year,Credit Card,No,No,Yes,3,1,0
CUST00214,74,35,57.68,2018.80,Month-to-Month,Credit Card,No,No,Yes,1,0,1
CUST00215,50,25,58.83,1470.75,Two Year,Credit Card,No,No,Yes,3,6,0
CUST00216,65,54,93.31,5038.74,Month-to-Month,Credit Card,Fiber Optic,No,No,1,7,1
CUST00217,41,25,73.31,1832.75,Two Year,Mailed Check,No,Yes,No,4,0,0
CUST00218,73,39,30.26,1180.14,Two Year,Electronic Check,No,Yes,Yes,2,2,0
CUST00219,30,46,83.48,3840.08,One Year,Electronic Check,DSL,No,Yes,3,2,1
CUST00220,21,70,21.25,1487.50,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,3,5,1
CUST00221,35,58,73.98,4290.84,One Year,Mailed Check,DSL,Yes,Yes,3,7,0
CUST00222,58,20,40.59,811.80,One Year,Mailed Check,Fiber Optic,Yes,No,3,5,1
CUST00223,73,21,50.17,1053.57,Two Year,Mailed Check,No,No,Yes,6,7,0
CUST00224,71,37,28.90,1069.30,Month-to-Month,Bank Transfer,Fiber Optic,No,No,2,7,1
CUST00225,53,33,69.27,2285.91,Month-to-Month,Credit Card,No,No,Yes,6,0,0
CUST00226,27,27,87.71,2368.17,Two Year,Electronic Check,No,No,No,3,3,1
CUST00227,65,10,68.01,680.10,Two Year,Electronic Check,DSL,No,No,1,7,1
CUST00228,24,70,95.63,6694.10,Month-to-Month,Electronic Check,DSL,Yes,No,6,2,0
CUST00229,47,32,60.41,1933.12,Two Year,Mailed Check,DSL,Yes,Yes,1,1,0
CUST00230,58,55,37.78,2077.90,Month-to-Month,Electronic Check,No,Yes,Yes,5,6,1
CUST00231,24,25,21.20,530.00,Month-to-Month,Credit Card,No,No,No,6,5,1
CUST00232,30,60,89.98,5398.80,Month-to-Month,Bank Transfer,DSL,Yes,No,6,6,1
CUST00233,28,13,44.55,579.15,Month-to-Month,Credit Card,Fiber Optic,Yes,No,6,6,1
CUST00234,40,71,34.72,2465.12,Two Year,Mailed Check,No,No,Yes,4,5,0
CUST00235,22,57,32.30,1841.10,Two Year,Mailed Check,No,No,No,3,3,0
CUST00236,61,4,50.99,203.96,Two Year,Bank Transfer,Fiber Optic,Yes,No,5,4,0
CUST00237,46,50,38.93,1946.50,Month-to-Month,Bank Transfer,No,No,No,4,2,1
CUST00238,28,4,35.77,143.08,Two Year,Electronic Check,DSL,No,Yes,2,2,1
CUST00239,31,72,57.25,4122.00,Month-to-Month,Credit Card,Fiber Optic,Yes,No,6,0,1
CUST00240,31,59,49.99,2949.41,Two Year,Bank Transfer,DSL,Yes,No,5,6,1
CUST00241,45,72,43.94,3163.68,Two Year,Bank Transfer,No,No,Yes,5,4,1
CUST00242,58,26,39.93,1038.18,One Year,Mailed Check,DSL,Yes,No,1,2,0
CUST00243,28,15,62.74,941.10,Two Year,Mailed Check,Fiber Optic,No,No,6,5,1
CUST00244,40,62,47.12,2921.44,One Year,Bank Transfer,Fiber Optic,Yes,No,3,3,0
CUST00245,45,26,64.37,1673.62,One Year,Bank Transfer,Fiber Optic,Yes,No,6,6,0
CUST00246,42,65,49.12,3192.80,One Year,Credit Card,Fiber Optic,Yes,Yes,2,4,1
CUST00247,26,54,95.60,5162.40,Two Year,Mailed Check,Fiber Optic,Yes,Yes,6,1,1
CUST00248,77,36,37.78,1360.08,One Year,Electronic Check,Fiber Optic,No,Yes,1,5,0
CUST00249,34,51,44.97,2293.47,Two Year,Credit Card,Fiber Optic,Yes,Yes,1,4,0
CUST00250,21,8,66.04,528.32,Month-to-Month,Credit Card,No,No,Yes,5,0,0
CUST00251,52,31,88.83,2753.73,One Year,Electronic Check,No,Yes,Yes,1,4,1
CUST00252,54,17,68.21,1159.57,Two Year,Mailed Check,No,Yes,No,3,0,0
CUST00253,71,38,58.35,2217.30,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,3,5,0
CUST00254,68,4,58.52,234.08,Two Year,Mailed Check,DSL,No,Yes,2,0,1
CUST00255,25,68,97.42,6624.56,Month-to-Month,Bank Transfer,DSL,No,No,2,4,1
CUST00256,68,11,75.75,833.25,Month-to-Month,Electronic Check,DSL,Yes,Yes,3,3,0
CUST00257,37,10,73.50,735.00,One Year,Mailed Check,Fiber Optic,Yes,Yes,4,2,1
CUST00258,67,31,99.81,3094.11,Month-to-Month,Bank Transfer,DSL,No,No,3,1,1
CUST00259,37,31,91.81,2846.11,Month-to-Month,Credit Card,Fiber Optic,No,Yes,5,7,1
CUST00260,33,4,25.93,103.72,Two Year,Mailed Check,Fiber Optic,No,No,1,2,1
CUST00261,33,13,95.19,1237.47,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Yes,6,1,1
CUST00262,73,64,60.51,3872.64,Month-to-Month,Credit Card,Fiber Optic,Yes,No,1,2,0
CUST00263,25,55,74.90,4119.50,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,3,2,1
CUST00264,56,50,60.06,3003.00,Month-to-Month,Mailed Check,DSL,Yes,No,1,0,1
CUST00265,47,67,68.01,4556.67,Two Year,Bank Transfer,Fiber Optic,Yes,No,6,1,1
CUST00266,29,26,80.90,2103.40,Month-to-Month,Bank Transfer,Fiber Optic,No,No,1,2,1
CUST00267,55,51,23.03,1174.53,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,3,1,0
CUST00268,58,55,45.31,2492.05,Month-to-Month,Electronic Check,DSL,No,Yes,1,2,1
CUST00269,60,60,37.91,2274.60,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,4,5,0
CUST00270,20,43,70.61,3036.23,One Year,Credit Card,Fiber Optic,No,No,4,3,0
CUST00271,62,25,61.90,1547.50,Two Year,Bank Transfer,DSL,No,No,1,5,0
CUST00272,21,26,31.50,819.00,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,5,7,0
CUST00273,65,23,41.24,948.52,Two Year,Mailed Check,DSL,No,No,5,7,0
CUST00274,73,64,82.59,5285.76,One Year,Mailed Check,DSL,No,No,2,2,1
CUST00275,41,33,22.29,735.57,Two Year,Bank Transfer,Fiber Optic,No,No,3,2,0
CUST00276,43,47,96.42,4531.74,Month-to-Month,Electronic Check,DSL,Yes,Yes,4,3,0
CUST00277,21,45,55.90,2515.50,One Year,Bank Transfer,DSL,No,No,4,7,1
CUST00278,45,14,21.02,294.28,Month-to-Month,Credit Card,No,Yes,Yes,6,4,1
CUST00279,22,72,35.38,2547.36,Two Year,Bank Transfer,No,No,No,2,7,1
CUST00280,39,49,76.06,3726.94,One Year,Mailed Check,No,No,No,4,1,1
CUST00281,66,65,65.65,4267.25,One Year,Mailed Check,DSL,Yes,Yes,2,5,1
CUST00282,65,43,96.62,4154.66,One Year,Mailed Check,Fiber Optic,No,Yes,2,6,1
CUST00283,20,11,72.82,801.02,One Year,Electronic Check,Fiber Optic,No,No,6,1,0
CUST00284,32,26,90.52,2353.52,Month-to-Month,Electronic Check,DSL,Yes,No,2,5,1
CUST00285,56,51,25.93,1322.43,Month-to-Month,Mailed Check,No,No,Yes,2,0,0
CUST00286,23,45,98.80,4446.00,One Year,Credit Card,No,No,No,2,5,1
